id,cusped,m,l,betti,torsion,volume,chernsimons,hash,cuspedtriangulation
103,m019,-2,3,0,"[63]",2.36419693316,0.161178251497,5d11d570dc43034c152ed36d49fd0cf1,dPPbbccudgk_BbaB
104,m022,5,1,0,"[21]",2.37059240064,-0.11479430709,485fa0d0223cea0a332aa6df76102794,eLMkcbdddhqqep_BbbC
105,m149,1,2,0,"[3, 6]",2.3747499909,-0.126377106803,0920db2c3f71a45829af10d54a2a1f07,eLPkbdcddxkknw_BabB
106,m019,-4,1,0,"[41]",2.38033582209,0.23946080181,438795eb51db3019b9b043dfab554313,dPPbbccudgk_BbaB
107,m022,5,2,0,"[7]",2.4224625169,0.07711018187,af6fc1317d2bc0838d3c7a46fbdb5aa6,eLMkcbdddhqqep_BbbC
108,m019,3,4,0,"[50]",2.42558537867,-0.01053621931,aabcddae1833f0524d684d450694a692,dPPbbccudgk_BbaB
109,m022,4,3,0,"[14]",2.4255853787,0.13553621931,8cadace5b5f6f8fc5eebd1d91fd04ca5,eLMkcbdddhqqep_BbbC
110,m019,4,3,0,"[27]",2.44440777951,0.21408647434,58769c0c70a41940fe458dc55cdba7fa,dPPbbccudgk_BbaB
111,m022,-1,3,0,"[7, 7]",2.4540294422,-0.059051123387,195a9bfcb05efc9e409d0ef2410f35e5,eLMkcbdddhqqep_BbbC
112,m026,4,1,0,"[51]",2.46313939441,0.03341168841,02f466395a98903acba1f41574609d72,ePzkbbcddxekqw_BaaB
113,m029,-3,2,0,"[45]",2.46823219668,-0.068482540686,499291eba56372b7ad829e1afa42628f,ezPkbddcdqgrsw_aBba
114,m036,3,2,0,"[3, 9]",2.4682321967,0.06848254069,5b4bd1aae21765cf49fe710a67e0657e,eLPkccdddpsksr_aBbB
115,m207,1,2,0,"[3, 3, 3]",2.4682321967,0.06848254069,45dba7a4dec57555de09e766166d23cf,ezMkbcdddxqhul_BabB
116,m022,-5,1,0,"[7, 7]",2.48782259179,0.20051855977,59ccf60e27b4085fd5710cb8e1c4d723,eLMkcbdddhqqep_BbbC
117,m023,-6,1,0,"[15]",2.4903791858,-0.03377782755,b90a0da1282b7407c0952a5eec324de1,eLMkcbdddhqqti_BaBB
118,m038,3,2,0,"[5]",2.50265930537,0.24254961816,4a0193f1b279d9388c8cb6ee6668361c,evQkbcddddwnbr_aBba
119,m034,-5,1,0,"[29]",2.5065758445,0.01843881764,f37fc2fc49941c3c50e4d3bd3bf7bdd4,ezMkbcddddqhei_BbBa
120,m034,5,1,0,"[11]",2.5144043349,0.197726973895,be6a28d76d34c6e03863d5070b80df1b,ezMkbcddddqhei_BbBa
121,m081,3,2,0,"[]",2.51622138042,0.02589472272,bfc0c6ebd637fd698f887d53d832220b,eLPkcdbddqbjgr_BabB
122,m070,-3,1,0,"[11]",2.52741847732,0.14494797861,98084447b96101e2a8158a549b14ba72,evQkdcccdxnbsr_BbaB
123,m038,-5,2,0,"[19]",2.52741847732,0.188385354728,88fe830ed8d154a96ddb62c35eba9bca,evQkbcddddwnbr_aBba
124,m036,-5,1,0,"[33]",2.5274184773,0.18838535473,25be48bc8b6ba800cb455104cc593c6c,eLPkccdddpsksr_aBbB
125,m032,6,1,0,"[4]",2.5274184773,0.22828131194,2947b646ba3f0b10df2da472de7b7c97,ezPkbcdddlokks_baBb
126,m033,-2,3,0,"[36]",2.5274184773,0.22828131194,9d569241d0a0e1a29cebc2e92431c54a,ezPkbdcddukfks_abBb
127,m030,5,2,0,"[63]",2.53030328757,0.24871416581,6a198c9c5d760b7c7a2dbe8184ddda53,ewMkaccddnrwhw_BbaB
