id,name,cusps,betti,torsion,tets,solids,hash,volume,triangulation
3617,ndode02_03549,2,2,[4],47,2,24b887b75185dd09e973863b6c0f0ffb,41.160398707799985,VvLPvwvzvvLzwPAwQwAwMMMAQwAQzQQQcdgffkqtnBzusCuEGvwIAAHMGNLFKJPNKOQJMRPQTUQTRSSUUxfvffttftgevfjxaxjacftteaavxetgtjaxwagvxttsteccc_BaaBbaab
3618,ndode02_03550,1,2,[4],47,2,255e35bfc1c60577403816c49de1db4a,41.160398707799985,VvLLvvLvLLvALzMvMvQvQQQwQPAPQQQQcdflmrtnvyxqGzHxvADxLCILKHPOQPKLSGRJUQRMQNSOPUTTUxvvcrabaxxcaavxccvclvcljxxaxxghtccvacvltffjwapvj_BaaB
3619,ndode02_03551,2,2,"[2, 2, 2]",47,2,086ccb767be095f35c591dd3fa27f49c,41.160398707799985,VvLLvvLvvPvLAMLvPMQLMPALPQLQQQQQcedljlxoysuqFACzHCvBGIJINFOLGQJRIMSTLTSPQUROTQURUasvraacajjfdaasehvlllvlilagfacxfvvvffsgtplrgvacc_bBabbaab
3620,ndode02_03552,3,3,"[2, 10]",47,2,89d9ce2440810aee35f59293178b43e7,41.160398707799985,VvLLLMwwvLQMvMvvvMQQzwMMLMAQLQQQcefghjhhmrtpqpvxwHwCxyHCDFGLIIKLQPKROQPUNSTPRUTTUghahigbabgggbhhbbggbgbkogbahslpagvgpgguphoooulul_bBaBBaaBabba
3621,ndode02_03553,2,2,"[2, 20]",47,2,70a6dbe5f9c1fe873cf955eefe682b85,41.160398707799985,VLvvvAvvvzzvQMvPwzPQALzQQLAQQQQQcbglmnsAuBrusAwHzKGFJBCOJDJKRGLMMRULPSQTTURPQSQSUekfeaaffdafoobaoprvpfoiafefiofobkdfioqoquggcmcdb_abBabaab
3622,ndode02_03554,2,1,"[2, 12]",47,2,d455f57622dd1e1a08be994a96a2439e,41.160398707799985,VvLvvLvvvLvLwzzwLzAMQMQQQAQQQAQQcdkpzyrAvsIADCFMHLwHNKDBHCSENLGTGJPRSTSROQQUOUQTUnlqoaaakfqqrrdcdddfitvaomaooqwgqkfcqlmnffiffforf_baabBaaB
3623,ndode02_03555,4,2,"[2, 2, 2, 12]",47,2,1c38661a48158305d932a28280d28a31,41.160398707799985,VvLLLMwwvLQMvMvvvMQQzwMMvMMQQPQQcefghjhhmrtpqpvxwHwCxyHCDFGLINLQOMKSPQRNPURPSUTTUghahigbabgggbhhbbggbgbkogbahvpaohhghggagupoouaao_bBaBBaaBBaaBbaab
3624,ndode02_03556,2,2,"[2, 60]",47,2,39b8390c144781f01a6e165d0009ba97,41.160398707799985,VLvvvAvvLvzzQAwLQwPzLzMAPzQQQQQQcbglrnvsAwurvusACwGzHBMHKPFIJJTPUITSUSTPNORORQQRUekfdaaafffdafoofnaoaoipfiofobdkdfbquobggcmcdmqob_baabbaab
3625,ndode02_03557,2,2,"[2, 60]",47,2,df26b79ab05ffdfa2956ae10e7fd917e,41.160398707799985,VvLLLMwwvLQwvvvLvzQPzzMQAQPQMQQQcefghjhhmrtpqDxKyJxKBOHGINLMQRQISJOTSHTULNNRQUSTUghahigbabgggibbgbgbgdakaaaaaggggbmahhpaaggajagua_baabbBba
3626,ndode02_03558,1,2,"[2, 2]",47,2,9fc7f655b2854ddd937559f4227c8e3a,41.160398707799985,VvLvLvvMwvzPzLzMwwPPAQwQAALQAQQQceimjoxvyyADDrCDwGzCAzEKNIBJEJLLMPSOQPQRURSUTUQTTcqvcaqromacccvvvadppdvvmaavcvccxtanxwxcvcijphhsw_bBba
3627,ndode02_03559,3,2,[2],47,2,6b8cc9d0a8e3c864df53b871f1211c60,41.160398707799985,VvLLvvvPwAAAAvvAzPPQvAQvLPQQMMQQcdgiojjrpnurqtszzFDADCEBHJMKMMGKQPINOSLNTUTSQUTSUrvgaeauubpavagvvwvvvvvuadaraafevuwaacbuavexcveca_baabbaabbaab
3628,ndode02_03560,3,2,"[2, 4]",47,2,db9850aa7e2211f6ec77259423b0a4d2,41.160398707799985,VvvLLvLLvQzzwzPvzAzPQLQAzwQQQPQQcffkmsoouxusqwyHwGCFAHGLCDIOJMGSPJRKTPQRQUTSRQUTUjjovjttpagqxosasrfmkpxvkouapobjncnbxfftquiirrpil_baababBbbaab
3629,ndode02_03561,4,2,"[2, 2, 4]",46,2,d0e047cab169dfd553968a32e87bbcce,41.160398707799985,UvLvAvLLzMwvzAwMAwLPPwzMAMMQQQQkchfknnlsmxpszswtDwCAEIFGHNOGMMKSLQTOSTNPPQPSRRTnsjvanatbcftdmkikguxjapcvlpwdtawhwwlwuxekwbhegs_baabbaabbaabbaab
3630,ndode02_03562,3,3,[4],49,2,595813848c802ead7b5c4c71f44254a0,41.160398707799985,XLLvLvLwzLwvzQQwPwAAQvAALMAQLwPQQkcehkkrsqtuxAqwwvuzBCxzEFHCHDEFLKJOMROMQPVWTSWVUUWViiiimtxavnaanilmfffdnlnnalqrcvfblonavwecheornwvrvd_baababBabBba
3631,ndode02_03563,1,1,"[2, 2, 4]",47,2,a80235b96a15295a0f0761782df7e578,41.160398707799985,VvLvvLvvwvLwQzLvvLQQMQPAMQPQMQQQcdhoowpusrtKFDxBJxCCAMKPNGOHHQGKIJNTLPRTUSUQSUSRTrbawlubxaaaxvcpxcedbdwibfwhhbexxxswllrvabvbbcnab_baab
3632,ndode02_03564,4,3,[2],48,2,0d02f6752e551642f1a5d3db5e2a01ad,41.160398707799985,WLMvvvLPwvMAzzLLLALAPMMwAwzPQQQQQbbdmljprnqpossBDvEyxAIKECFJLGPHOQSVSMNRVQTRPUVUTUpuaruwavbfuuaaaffdffudraxwlpubonhgdguvkacmuchgnor_baabbaabBaaBbBba
3633,ndode02_03565,2,3,[],46,2,33c4c9beaa0db60d9232c27fbb056037,41.160398707799985,ULvLLMLvvLwvzAvLPvAQQPzQQAQPPAQkbegjihpmwtABCFKFKHCyEzKBMJJLDGLJIQQILRNROPSTTSTsnpuvpibkpapxaeqqvrkwcgmpnlmwbiiseecmpqmkgdbjkk_bBbabaab
3634,ndode02_03566,4,3,[2],48,2,0c6dcc0546a8fe40d938ee1ced7579df,41.160398707799985,WLMvvvLLMwLzzzAzLALPAPPzzPzPQQQQQbbdmjpplnuoqruAvDGDJzyBILCEMHGKOQSUOVSNPRQRVTVUTUpuarwaoubouasujfilraffudriwhortrhrnidrugktinegnor_baabbaabBaaBbBba
3635,ndode02_03567,2,2,[3],47,2,0079a42e1b85708790e5a6570a305bd3,41.160398707799985,VvvLLLvwPwvvvzwzPAAQLzQMQQQzPQQQcfhjkokpzvHAvEFxIAJxHLKCNKDQPLOMGIRPNTUQPRUTUQSSTppaombpaoajcrmqpgeqqdchgcowdaebknlereumoqmpxlwvc_baabaBBb
